index,korean,english
0,null,null
1,제임스,James
2,존,John
3,윌리엄,William
4,클린튼,Clinton
5,파슨스,Parsons
6,와트,Wyatt
7,모건,Morgan
8,에멧,Emmett
9,콜,Cole
10,클레이튼,Clayton
11,레비,Levi
12,달튼,Dalton
13,코디,Cody
15,방랑자 몰리,Molly
16,목사 클린튼,
17,사기꾼 윌리엄,
18,금도둑 빌,
19,퇴역 장군 헨리,
20,노라,Nora
101,마차 강도 제임스,James "The Wagon Robber"
102,토마스,Thomas
103,웨스트빌 주정뱅이,Westville Drunkard
201,린스데일 보안관,Linsdale Sheriff
202,웨스트빌 보안관,Westville Sheriff
1001,강도,
1002,무법자,
1003,퇴역 군인,
1004,뚱뚱한 총잡이,
107,광산 폭파광 에이든,Aiden "The Mine Blaster"
108,루드비히,Ludwig
109,설산 사냥꾼 하인리히,Heinrich "The Snow Hunter"
41,머크필드 총잡이,
401,4챕 서브퀘1,
402,4챕 서브퀘2,
403,4챕 서브퀘3,
4000,가축 도살자 잭슨,
