index,kor,eng,comment
0,Null_LogUI,Null_LogUI,
1,{exp} 경험치 획득,Got {exp} exp,경험치획득
2,레벨업! {level} 레벨이 되었다,Level up! You've reached level {level},레벨업
3,{turn} 턴,{turn} turn,월드 턴
4,[{unitName}의 턴],[{unitName}'s turn],전투중 턴시작
5,{unitName}에게 {damage} 데미지,{unitName} took {damage} damage,데미지받음
6,{unitName} 회피!,{unitName} dodged!,감나빗
7,- 전투 시작 -,- Start combat -,전투 시작
10,{unitName}의 {action},{unitName} {action},
11,무언가,unknown action,Action의 내용: UnknownAction
12,공격,attack,Action의 내용
13,다이너마이트,dynamite,Action의 내용
14,패닝,fanning,Action의 내용
15,지혈,hemostasis,Action의 내용
16,이동,move,Action의 내용
17,재장전,reload,Action의 내용
18,{itemName} 사용,use {itemName},Action의 내용
