index,korean,english
0,null,null
10001,선택한 타일로 이동합니다.,
10002,선택한 대상에게 <keyword:1>합니다.,
10003,무기를 재장전합니다.,
10004,엄폐물을 선택해서 엄폐합니다. 엄폐한 방향의 공격을 회피할 확률이 30% 증가합니다.,
1,체력이 최대인 적을 상대로 <effectAmount>의 추가 피해를 입힙니다.,
2,해머를 손으로 당겨서 남은 탄을 모두 <keyword:1>합니다. 명중률이 <effectAmount>% 조정됩니다.,
3,이번 턴에 이동하지 않았다면 치명타 확률이 <effectAmount>% 증가합니다.,
4,치명타 확률이 <effectAmount>% 증가합니다.,
5,"다이너마이트를 던져서 <radius>칸 이내의 적에게 <damage>의 피해를 입히고, <keyword:10>을 부여합니다. ",
6,상처를 지혈해서 <keyword:11> 중첩을 <effectAmount> 감소시킵니다.,
7,<keyword:1> 이후에 이동할 수 있습니다.,
8,한 턴에 횟수 제한 없이 <keyword:1> 할 수 있습니다.,
9,최대 체력이 <effectAmount> 증가합니다,
10,한 턴에 2번 <keyword:1> 할 수 있습니다.,
11,총알 6발로 난사를 사용하면 치명타 확률이 <effectAmount>% 증가합니다.,
12,한 칸 떨어진 적에게 난사를 사용하면 치명타 데미지가 <effectAmount>% 증가합니다.,
13,난사 이후 <effectAmount>%의 확률로 다음 재장전이 행동력을 소모하지 않습니다.,
14,난사가 6발 적중하면 행동력을 <effectAmount> 회복합니다.,
15,리볼버를 재장전 할 때마다 총알 1개가 황금 총알이 됩니다. 황금 총알은 항상 치명타가 적용됩니다.,
16,황금 총알을 단발로 사격하면 명중률이 <effectAmount>% 증가합니다.,
17,황금 총알의 개수가 2개로 늘어납니다.,
18,이번 턴에 황금 총알에 맞은 대상에게 황금 총알이 <effectAmount>의 추가 피해를 입힙니다.,
19,리피터는 고유한 스위트 스팟 거리를 가집니다. 해당 거리의 적을 상대로 치명타 확률이 <effectAmount>% 증가합니다.,
20,스위트 스팟에 위치한 적에게 <effectAmount>의 추가 피해를 입힙니다.,
21,리피터로 치명타를 가하면 3턴 동안 속도가 <effectAmount> 증가합니다.,
22,스위트 스팟에 위치한 적을 처치 시 행동력을 <effectAmount> 회복합니다.,
23,리피터를 장착하면 시야 범위가 <effectAmount> 늘어납니다.,
34,다이너마이트가 엄폐물에 <effectAmount>%의 피해를 입힙니다.,
35,전술 재장전의 확률이 <effectAmount>% 증가합니다.,
36,난사로 발사하는 총알은 <effectAmount:1>의 추가 피해를 줍니다. 대신 명중률이 <effectAmount:0>% 조정됩니다.,
37,재장전 시 <effectAmount>%의 확률로 황금 총알이 1개 추가됩니다.,
38,"이번 턴에 움직이지 않았다면, 스위트 스팟에 위치한 적을 상대로 치명타 확률이 <effectAmount>% 증가합니다.",
