index,korean,english
0,null,null
1,,
2,,
3,[HP]를 나타냅니다.,Indicates the [Health Point].
4,사격 시 [명중률]을 결정합니다. [명중률]은 거리가 멀면 감소합니다.,Determines the [Hit Rate] when shooting. [Hit Rate] decreases when the distance is far.
5,[시야 범위] 만큼의 타일을 볼 수 있습니다.,You can see as many tiles as [View Range].
6,전투의 턴 순서를 결정합니다. [속도]가 크게 차이난다면 행동 횟수도 달라집니다.,Determines the turn order of battle. If [Speed] is significantly different, the number of actions will also vary.
7,[행동력]을 사용해서 이동, 공격 등의 행동을 할 수 있습니다.,With [Action Point], you can perform actions such as moving and attacking.
8,명중률에 [추가 명중률] 만큼 더해서 계산합니다.,It is calculated by adding [Bonus Hit Rate] to [Hit Rate].
9,[치명타 확률]에 따라 공격 시 치명타가 발생합니다.,Depending on the [Critical Chance], a critical hit occurs when attacking.
10,공격이 치명타로 적용될 때, [치명타 피해량] 만큼 공격이 강해집니다.,When an attack is applied as a critical hit, the attack becomes stronger by [Critical Damage].
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,캐릭터 보너스 (리볼버),Character Bonus (Revolver)
24,캐릭터 보너스 (리피터),Character Bonus (Repeater)
25,캐릭터 보너스 (샷건),Character Bonus (Shotgun)
26,장착 무기 보너스,Equipped Weapon Bonus
27,스킬 보너스,Skill Bonus
